Domain,Time Visited
newtab,320
yorku,57
github,270
google_search,435
wordpress,84
photos.google,9
altervista,3
ioschedule,1
tartarus,5
visualstudio,13
azure,6
live,4
infinityfree,2
drive.google,3
rf,3
scribd,1
wikipedia,8
slideshare,1
linkedin,1
githubusercontent,3
launchpad,2
bitbucket,1
gitlab,15
history,6
uconn,2
stanford,1
192.168.0.1,12
rogers,3
mega,4
kaggle,4
wikimedia,2
facebook,14
bing,2
microsoft,4
c82,3
gitpod,1
veoh,7
accounts.google,3
youtube,15
msdn,10
azuredevopslabs,1
myaccount.google,1
ecollege,4
crowdmark,1
bitdownloader,1
185.27.134.244,5
mixer,1
toronto,2
epizy,2
idownloadblog,1
drorbn,9
elsevier,1
stephenwolfram,1
wp,1
tqft,2
steck,4
uoregon,1
w3schools,5
notepad-plus-plus,2
support.google,1
acm,2
